Routing table for node number 6 at time 15
Destination,path,cost
0,6 12 0 ,19
1,6 12 1 ,24
2,6 8 2 ,30
3,6 3 ,8
4,6 4 ,11
5,6 4 5 ,25
7,6 14 7 ,33
8,6 8 ,13
9,6 9 ,21
10,6 10 ,18
11,6 12 1 11 ,43
12,6 12 ,15
13,6 14 13 ,35
14,6 14 ,18
Routing table for node number 6 at time 30
Destination,path,cost
0,6 12 0 ,19
1,6 12 1 ,11
2,6 12 1 2 ,21
3,6 8 3 ,20
4,6 4 ,13
5,6 4 5 ,26
7,6 12 1 2 7 ,31
8,6 8 ,7
9,6 12 0 9 ,23
10,6 10 ,27
11,6 12 1 11 ,23
12,6 12 ,8
13,6 12 0 9 13 ,25
14,6 14 ,19
Routing table for node number 6 at time 45
Destination,path,cost
0,6 12 0 ,17
1,6 12 1 ,18
2,6 9 2 ,22
3,6 12 3 ,14
4,6 4 ,22
5,6 4 5 ,35
7,6 14 7 ,26
8,6 8 ,10
9,6 9 ,19
10,6 10 ,21
11,6 12 1 11 ,26
12,6 12 ,13
13,6 14 13 ,38
14,6 14 ,15
