Routing table for node number 0 at time 15
Destination,path,cost
1,0 1 ,9
2,0 9 2 ,18
3,0 12 6 3 ,19
4,0 12 6 4 ,32
5,0 9 2 5 ,35
6,0 12 6 ,12
7,0 9 14 7 ,31
8,0 12 6 8 ,26
9,0 9 ,2
10,0 9 10 ,22
11,0 1 11 ,28
12,0 12 ,5
13,0 9 13 ,17
14,0 9 14 ,16
Routing table for node number 0 at time 30
Destination,path,cost
1,0 12 1 ,7
2,0 12 1 2 ,17
3,0 12 3 ,16
4,0 9 6 4 ,40
5,0 12 1 2 5 ,39
6,0 9 6 ,18
7,0 9 13 7 ,27
8,0 12 1 2 8 ,26
9,0 9 ,4
10,0 9 10 ,26
11,0 12 1 11 ,19
12,0 12 ,4
13,0 9 13 ,6
14,0 9 14 ,16
Routing table for node number 0 at time 45
Destination,path,cost
1,0 1 ,22
2,0 9 2 ,5
3,0 12 3 ,19
4,0 9 2 8 6 4 ,32
5,0 9 2 5 ,22
6,0 9 2 8 6 ,19
7,0 9 14 7 ,27
8,0 9 2 8 ,11
9,0 9 ,2
10,0 9 10 ,22
11,0 1 11 ,30
12,0 12 ,18
13,0 9 2 13 ,22
14,0 9 14 ,16
