Routing table for node number 4 at time 15
Destination,path,cost
0,4 6 12 0 ,29
1,4 6 12 1 ,34
2,4 5 2 ,27
3,4 6 3 ,18
5,4 5 ,13
6,4 6 ,11
7,4 6 14 7 ,44
8,4 6 8 ,25
9,4 6 9 ,30
10,4 6 10 ,41
11,4 6 12 1 11 ,53
12,4 6 12 ,25
13,4 5 2 13 ,35
14,4 6 14 ,29
Routing table for node number 4 at time 30
Destination,path,cost
0,4 6 9 0 ,28
1,4 6 12 1 ,21
2,4 5 2 ,23
3,4 6 3 ,27
5,4 5 ,11
6,4 6 ,13
7,4 5 2 7 ,33
8,4 6 8 ,24
9,4 6 9 ,27
10,4 6 10 ,39
11,4 6 12 1 11 ,33
12,4 6 12 ,18
13,4 6 9 13 ,29
14,4 6 14 ,25
Routing table for node number 4 at time 45
Destination,path,cost
0,4 6 12 0 ,39
1,4 6 12 1 ,40
2,4 5 2 ,30
3,4 6 12 3 ,36
5,4 5 ,15
6,4 6 ,21
7,4 6 14 7 ,51
8,4 6 8 ,34
9,4 6 9 ,36
10,4 6 10 ,43
11,4 6 12 1 11 ,48
12,4 6 12 ,35
13,4 5 2 13 ,47
14,4 6 14 ,40
