Routing table for node number 11 at time 15
Destination,path,cost
0,11 1 0 ,18
1,11 1 ,8
2,11 1 2 ,23
3,11 1 0 12 6 3 ,37
4,11 1 0 12 6 4 ,50
5,11 1 2 5 ,40
6,11 1 0 12 6 ,30
7,11 1 2 7 ,45
8,11 1 2 8 ,35
9,11 1 0 9 ,20
10,11 1 0 9 10 ,40
12,11 1 0 12 ,23
13,11 1 2 13 ,31
14,11 1 0 9 14 ,34
Routing table for node number 11 at time 30
Destination,path,cost
0,11 1 12 0 ,35
1,11 1 ,18
2,11 1 2 ,28
3,11 1 12 3 ,36
4,11 1 2 5 4 ,57
5,11 1 2 5 ,50
6,11 1 12 6 ,38
7,11 1 2 7 ,38
8,11 1 2 8 ,37
9,11 1 12 0 9 ,39
10,11 1 2 7 10 ,52
12,11 1 12 ,24
13,11 1 12 0 9 13 ,41
14,11 1 12 6 14 ,50
Routing table for node number 11 at time 45
Destination,path,cost
0,11 1 0 ,34
1,11 1 ,19
2,11 1 2 ,37
3,11 1 12 3 ,39
4,11 1 2 8 6 4 ,64
5,11 1 2 5 ,54
6,11 1 2 8 6 ,51
7,11 1 2 7 ,60
8,11 1 2 8 ,43
9,11 1 0 9 ,36
10,11 1 0 9 10 ,56
12,11 1 12 ,38
13,11 1 2 13 ,54
14,11 1 0 9 14 ,50
