Routing table for node number 3 at time 15
Destination,path,cost
0,3 12 0 ,23
1,3 12 1 ,28
2,3 8 2 ,30
4,3 6 4 ,33
5,3 8 2 5 ,47
6,3 6 ,13
7,3 8 14 7 ,41
8,3 8 ,13
9,3 12 0 9 ,25
10,3 6 10 ,43
11,3 12 1 11 ,47
12,3 12 ,19
13,3 8 2 13 ,38
14,3 8 14 ,26
Routing table for node number 3 at time 30
Destination,path,cost
0,3 12 0 ,34
1,3 12 1 ,26
2,3 8 2 ,34
4,3 6 4 ,45
5,3 8 2 5 ,56
6,3 6 ,23
7,3 8 2 7 ,44
8,3 8 ,17
9,3 6 9 ,37
10,3 6 10 ,49
11,3 12 1 11 ,38
12,3 12 ,23
13,3 6 9 13 ,39
14,3 8 14 ,33
Routing table for node number 3 at time 45
Destination,path,cost
0,3 12 0 ,11
1,3 12 1 ,12
2,3 12 0 9 2 ,16
4,3 8 6 4 ,33
5,3 12 0 9 2 5 ,33
6,3 8 6 ,20
7,3 12 0 9 14 7 ,38
8,3 8 ,12
9,3 12 0 9 ,13
10,3 12 0 9 10 ,33
11,3 12 1 11 ,20
12,3 12 ,7
13,3 12 0 9 2 13 ,33
14,3 12 0 9 14 ,27
