Routing table for node number 12 at time 15
Destination,path,cost
0,12 0 ,16
1,12 1 ,7
2,12 1 2 ,22
3,12 3 ,16
4,12 6 4 ,32
5,12 1 2 5 ,39
6,12 6 ,12
7,12 1 2 7 ,44
8,12 6 8 ,26
9,12 0 9 ,18
10,12 0 9 10 ,38
11,12 1 11 ,26
13,12 1 2 13 ,30
14,12 6 14 ,30
Routing table for node number 12 at time 30
Destination,path,cost
0,12 0 ,12
1,12 1 ,10
2,12 1 2 ,20
3,12 3 ,10
4,12 6 4 ,38
5,12 1 2 5 ,42
6,12 6 ,16
7,12 1 2 7 ,30
8,12 3 8 ,27
9,12 0 9 ,16
10,12 0 9 10 ,38
11,12 1 11 ,22
13,12 0 9 13 ,18
14,12 6 14 ,28
Routing table for node number 12 at time 45
Destination,path,cost
0,12 0 ,13
1,12 1 ,17
2,12 0 9 2 ,18
3,12 3 ,2
4,12 6 4 ,22
5,12 0 9 2 5 ,35
6,12 6 ,9
7,12 6 14 7 ,39
8,12 3 8 ,12
9,12 0 9 ,15
10,12 6 10 ,31
11,12 1 11 ,25
13,12 0 9 2 13 ,35
14,12 6 14 ,28
