Routing table for node number 8 at time 15
Destination,path,cost
0,8 6 12 0 ,25
1,8 2 1 ,21
2,8 2 ,12
3,8 6 3 ,14
4,8 6 4 ,27
5,8 2 5 ,29
6,8 6 ,7
7,8 14 7 ,28
9,8 2 9 ,21
10,8 6 10 ,37
11,8 2 1 11 ,40
12,8 6 12 ,21
13,8 2 13 ,20
14,8 14 ,13
Routing table for node number 8 at time 30
Destination,path,cost
0,8 6 9 0 ,22
1,8 6 12 1 ,15
2,8 2 ,11
3,8 3 ,15
4,8 6 4 ,29
5,8 2 5 ,33
6,8 6 ,7
7,8 2 7 ,21
9,8 6 9 ,21
10,8 6 10 ,33
11,8 6 12 1 11 ,27
12,8 6 12 ,12
13,8 6 9 13 ,23
14,8 14 ,12
Routing table for node number 8 at time 45
Destination,path,cost
0,8 3 12 0 ,22
1,8 3 12 1 ,23
2,8 2 ,17
3,8 3 ,17
4,8 6 4 ,27
5,8 2 5 ,34
6,8 6 ,14
7,8 14 7 ,26
9,8 3 12 0 9 ,24
10,8 6 10 ,36
11,8 3 12 1 11 ,31
12,8 3 12 ,18
13,8 2 13 ,34
14,8 14 ,15
