Routing table for node number 13 at time 15
Destination,path,cost
0,13 0 ,24
1,13 2 1 ,25
2,13 2 ,16
3,13 14 6 3 ,28
4,13 14 6 4 ,41
5,13 2 5 ,33
6,13 14 6 ,21
7,13 14 7 ,25
8,13 2 8 ,28
9,13 9 ,11
10,13 9 10 ,31
11,13 2 1 11 ,44
12,13 0 12 ,29
14,13 14 ,10
Routing table for node number 13 at time 30
Destination,path,cost
0,13 9 0 ,13
1,13 9 0 12 1 ,20
2,13 2 ,22
3,13 9 0 12 3 ,29
4,13 14 6 4 ,48
5,13 2 5 ,44
6,13 14 6 ,26
7,13 14 7 ,24
8,13 14 8 ,24
9,13 9 ,12
10,13 9 10 ,34
11,13 9 0 12 1 11 ,32
12,13 9 0 12 ,17
14,13 14 ,10
Routing table for node number 13 at time 45
Destination,path,cost
0,13 9 0 ,14
1,13 9 2 1 ,30
2,13 9 2 ,10
3,13 9 2 8 3 ,28
4,13 9 2 8 6 4 ,37
5,13 9 2 5 ,27
6,13 9 2 8 6 ,24
7,13 7 ,22
8,13 9 2 8 ,16
9,13 9 ,7
10,13 9 10 ,27
11,13 9 2 1 11 ,38
12,13 9 2 8 3 12 ,29
14,13 14 ,17
