Routing table for node number 14 at time 15
Destination,path,cost
0,14 9 0 ,32
1,14 9 2 1 ,38
2,14 9 2 ,29
3,14 6 3 ,22
4,14 6 4 ,35
5,14 9 2 5 ,46
6,14 6 ,15
7,14 7 ,15
8,14 8 ,18
9,14 9 ,13
10,14 7 10 ,28
11,14 9 2 1 11 ,57
12,14 6 12 ,29
13,14 13 ,23
Routing table for node number 14 at time 30
Destination,path,cost
0,14 9 0 ,17
1,14 6 12 1 ,22
2,14 7 2 ,20
3,14 8 3 ,25
4,14 6 4 ,36
5,14 7 2 5 ,42
6,14 6 ,14
7,14 7 ,12
8,14 8 ,12
9,14 9 ,16
10,14 7 10 ,26
11,14 6 12 1 11 ,34
12,14 6 12 ,19
13,14 9 13 ,18
Routing table for node number 14 at time 45
Destination,path,cost
0,14 9 0 ,23
1,14 6 12 1 ,27
2,14 9 2 ,19
3,14 6 12 3 ,23
4,14 6 4 ,21
5,14 6 4 5 ,34
6,14 6 ,8
7,14 7 ,12
8,14 6 8 ,21
9,14 9 ,16
10,14 7 10 ,29
11,14 6 12 1 11 ,35
12,14 6 12 ,22
13,14 13 ,19
