Routing table for node number 9 at time 15
Destination,path,cost
0,9 0 ,21
1,9 0 1 ,30
2,9 14 7 2 ,44
3,9 6 3 ,28
4,9 6 4 ,41
5,9 6 4 5 ,55
6,9 6 ,21
7,9 14 7 ,29
8,9 14 8 ,33
10,9 10 ,21
11,9 0 1 11 ,49
12,9 0 12 ,26
13,9 14 13 ,31
14,9 14 ,14
Routing table for node number 9 at time 30
Destination,path,cost
0,9 0 ,24
1,9 2 1 ,23
2,9 2 ,3
3,9 2 8 3 ,25
4,9 2 5 4 ,32
5,9 2 5 ,25
6,9 6 ,23
7,9 2 7 ,13
8,9 2 8 ,12
10,9 10 ,19
11,9 2 1 11 ,35
12,9 6 12 ,28
13,9 13 ,8
14,9 14 ,12
Routing table for node number 9 at time 45
Destination,path,cost
0,9 0 ,18
1,9 0 1 ,40
2,9 13 2 ,25
3,9 0 12 3 ,37
4,9 6 4 ,35
5,9 13 2 5 ,42
6,9 6 ,22
7,9 13 7 ,24
8,9 13 2 8 ,31
10,9 10 ,14
11,9 0 1 11 ,48
12,9 0 12 ,36
13,9 13 ,7
14,9 14 ,13
