Routing table for node number 5 at time 15
Destination,path,cost
0,5 2 1 0 ,33
1,5 2 1 ,23
2,5 2 ,14
3,5 4 6 3 ,34
4,5 4 ,12
6,5 4 6 ,27
7,5 2 7 ,36
8,5 2 8 ,26
9,5 2 9 ,23
10,5 2 9 10 ,43
11,5 2 1 11 ,42
12,5 2 1 0 12 ,38
13,5 2 13 ,22
14,5 2 13 14 ,34
Routing table for node number 5 at time 30
Destination,path,cost
0,5 2 9 0 ,38
1,5 2 1 ,32
2,5 2 ,12
3,5 2 8 3 ,34
4,5 4 ,7
6,5 4 6 ,29
7,5 2 7 ,22
8,5 2 8 ,21
9,5 2 9 ,37
10,5 2 7 10 ,36
11,5 2 1 11 ,44
12,5 4 6 12 ,34
13,5 2 13 ,34
14,5 2 8 14 ,37
Routing table for node number 5 at time 45
Destination,path,cost
0,5 2 9 0 ,37
1,5 2 1 ,35
2,5 2 ,15
3,5 2 8 3 ,33
4,5 4 ,13
6,5 4 6 ,29
7,5 2 7 ,38
8,5 2 8 ,21
9,5 2 9 ,30
10,5 2 9 10 ,50
11,5 2 1 11 ,43
12,5 2 8 3 12 ,34
13,5 2 13 ,32
14,5 2 8 14 ,44
