Routing table for node number 10 at time 15
Destination,path,cost
0,10 6 12 0 ,31
1,10 6 12 1 ,36
2,10 9 2 ,30
3,10 6 3 ,20
4,10 6 4 ,33
5,10 9 2 5 ,47
6,10 6 ,13
7,10 7 ,17
8,10 6 8 ,27
9,10 9 ,14
11,10 6 12 1 11 ,55
12,10 6 12 ,27
13,10 9 13 ,29
14,10 9 14 ,28
Routing table for node number 10 at time 30
Destination,path,cost
0,10 9 0 ,20
1,10 9 0 12 1 ,27
2,10 7 2 ,24
3,10 6 3 ,34
4,10 6 4 ,42
5,10 7 2 5 ,46
6,10 6 ,20
7,10 7 ,16
8,10 6 8 ,31
9,10 9 ,19
11,10 9 0 12 1 11 ,39
12,10 9 0 12 ,24
13,10 9 13 ,21
14,10 9 14 ,31
Routing table for node number 10 at time 45
Destination,path,cost
0,10 9 0 ,23
1,10 9 2 1 ,39
2,10 9 2 ,19
3,10 6 12 3 ,35
4,10 6 4 ,33
5,10 9 2 5 ,36
6,10 6 ,20
7,10 7 ,18
8,10 9 2 8 ,25
9,10 9 ,16
11,10 9 2 1 11 ,47
12,10 6 12 ,34
13,10 9 2 13 ,36
14,10 9 14 ,30
