Routing table for node number 2 at time 15
Destination,path,cost
0,2 1 0 ,20
1,2 1 ,10
3,2 8 6 3 ,26
4,2 5 4 ,32
5,2 5 ,20
6,2 8 6 ,19
7,2 7 ,8
8,2 8 ,10
9,2 9 ,6
10,2 7 10 ,21
11,2 1 11 ,29
12,2 1 0 12 ,25
13,2 13 ,19
14,2 9 14 ,20
Routing table for node number 2 at time 30
Destination,path,cost
0,2 9 0 ,7
1,2 9 0 12 1 ,14
3,2 9 0 12 3 ,23
4,2 5 4 ,25
5,2 5 ,18
6,2 9 6 ,20
7,2 7 ,26
8,2 8 ,12
9,2 9 ,6
10,2 9 10 ,28
11,2 9 0 12 1 11 ,26
12,2 9 0 12 ,11
13,2 9 13 ,8
14,2 9 14 ,18
Routing table for node number 2 at time 45
Destination,path,cost
0,2 1 0 ,32
1,2 1 ,17
3,2 8 3 ,29
4,2 5 4 ,27
5,2 5 ,14
6,2 8 6 ,25
7,2 7 ,12
8,2 8 ,17
9,2 9 ,28
10,2 7 10 ,29
11,2 1 11 ,25
12,2 8 3 12 ,30
13,2 13 ,19
14,2 7 14 ,26
