Routing table for node number 7 at time 15
Destination,path,cost
0,7 2 1 0 ,40
1,7 2 1 ,30
2,7 2 ,21
3,7 10 6 3 ,32
4,7 10 6 4 ,45
5,7 2 5 ,38
6,7 10 6 ,25
8,7 2 8 ,33
9,7 10 9 ,26
10,7 10 ,12
11,7 2 1 11 ,49
12,7 10 6 12 ,39
13,7 13 ,17
14,7 14 ,19
Routing table for node number 7 at time 30
Destination,path,cost
0,7 10 9 0 ,35
1,7 2 1 ,41
2,7 2 ,21
3,7 2 8 3 ,43
4,7 2 5 4 ,50
5,7 2 5 ,43
6,7 14 6 ,34
8,7 2 8 ,30
9,7 10 9 ,34
10,7 10 ,15
11,7 2 1 11 ,53
12,7 14 6 12 ,39
13,7 13 ,24
14,7 14 ,18
Routing table for node number 7 at time 45
Destination,path,cost
0,7 14 9 0 ,35
1,7 2 1 ,34
2,7 2 ,14
3,7 2 8 3 ,32
4,7 14 6 4 ,39
5,7 2 5 ,31
6,7 14 6 ,26
8,7 2 8 ,20
9,7 14 9 ,28
10,7 10 ,18
11,7 2 1 11 ,42
12,7 2 8 3 12 ,33
13,7 13 ,17
14,7 14 ,15
