Routing table for node number 8 at time 15
Destination,path,cost
0,8 0 ,11
1,8 5 1 ,10
2,8 7 2 ,8
3,8 6 3 ,11
4,8 6 4 ,10
5,8 5 ,7
6,8 6 ,6
7,8 7 ,7
Routing table for node number 8 at time 30
Destination,path,cost
0,8 0 ,12
1,8 5 1 ,10
2,8 7 2 ,9
3,8 7 2 3 ,11
4,8 4 ,12
5,8 5 ,9
6,8 6 ,7
7,8 7 ,8
Routing table for node number 8 at time 45
Destination,path,cost
0,8 0 ,10
1,8 7 2 1 ,12
2,8 7 2 ,9
3,8 6 3 ,11
4,8 4 ,11
5,8 5 ,11
6,8 6 ,5
7,8 7 ,6
