Routing table for node number 1 at time 15
Destination,path,cost
0,1 0 ,5
2,1 2 ,3
3,1 2 3 ,10
4,1 5 4 ,7
5,1 5 ,2
6,1 5 4 6 ,11
7,1 2 7 ,6
8,1 5 8 ,9
Routing table for node number 1 at time 30
Destination,path,cost
0,1 0 ,5
2,1 2 ,4
3,1 2 3 ,6
4,1 5 4 ,6
5,1 5 ,1
6,1 5 6 ,10
7,1 2 7 ,6
8,1 2 7 8 ,13
Routing table for node number 1 at time 45
Destination,path,cost
0,1 0 ,3
2,1 2 ,3
3,1 3 ,10
4,1 5 4 ,8
5,1 5 ,5
6,1 3 6 ,13
7,1 2 7 ,4
8,1 2 7 8 ,12
